#syria  33353
#syrianrefugees 18873
#refugeeswelcome        18068
#saudi  18014 - ?
#refugees       17144
#iran   17024 - another topic? ; #irandeal       13937
#syriacrisis    15209
#refugeecrisis  13386
#isis   12063
#hungary        7843
#germany        7013
#migrantcrisis  3420
#syrian 3314
#refugee        3288
#isil   2694
#migrants       2556
#croatia        2403
#islamicstate   2395

#refugeescrisis 2166
#refugeeconvoy  534
#refugeesnotmigrants    474
#welcomerefugees        448
#refugiadosbienvenidos  353
#refugeesgr     340
#refugeesnotwelcome     338
#refug<E2><80><A6>      326
#refugeecrises  303
#syrianrefugee  272
#refuge<E2><80><A6>     212
#syriarefugees  210
#refugeemarch   200
#syrianrefugeesforpakistan      193
#refugeesnotpawns       180
#refugee<E2><80><A6>    177
#norefugees     157
#solidaritywithafricanrefugees  156
#refugees<E2><80><A6>   134
#refugeec<E2><80><A6>   134
#fcbrefugiats   111
#beyondrefugees 99
#nomorerefugees 94
#refugeecris<E2><80><A6>        92
#refugies       75
#refugeesw<E2><80><A6>  72
#wildliferefuge 69
#refugeecri<E2><80><A6> 64
#refugeesanctuary       63
#wewelcomerefugees      57
#refugeeswe<E2><80><A6> 56
#refugeecrise<E2><80><A6>       51
#refugeeswelcom<E2><80><A6>     49
#syrianrefugeecrisis    49
#refugeeswelco<E2><80><A6>      47
#refugeeswel<E2><80><A6>        44
#refugeenotmigrant      43
#respectrefugees        42
#refugeeswelc<E2><80><A6>       41
#refugeecrisis<E2><80><A6>      40
#yosoyrefugiado 39
#refugeecr<E2><80><A6>  39
#refuge 37
#carefugees     37
#refugeeswelcomehere    34
#refugee200k    34
#makersforrefugees      33
#refugiados     31
#solidaritywithrefugees 31
#saverefugees   30
#donowrefugee   30
#refugeesarewelcome     27
#refugeecrisi<E2><80><A6>       27
#refugeeslivesmatter    27
#bxlrefugees    25
#syrian_refugees        23
#refugeestruggle        23
#refugeeswelcomenz      20
#refugeesmatter 20
#refugeswelcome 19
#yosoyrefugiada 19
#refugeewelcome 19
#refugeesdignity        18
#wewerealsorefugees     17
#refugeeswelcome<E2><80><A6>    17
#trumprethinkrefugees   17
#refugeehealth  16
#helptherefugees        16
#helprefugees   16
#refugeevigil   14
#refugeelivesmatter     14
#calaisrefugees 14
#welcoming_syria's_refugees_is_a_gulf_duty      14
#aid4refugees   14
#refuges        14
#ciutatrefugi   13
#realrefugees   13
#refugeesno<E2><80><A6> 13
#refugeescr<E2><80><A6> 13
#wildliferefuges        12
#lifejacketsforrefugees 12
#assadcreatesrefugees   12
#ukunited4refugees      12
#refugeecamp    11
#rsarefugee     11
#solidaritywithafricanrefuge<E2><80><A6>        11
#refugeecrisis| 11
#refugess       11
#truerefuge     11
#refugeeaid     11
#yourefuglierthan       11
#womenrefugees  11
#refugeesmarch  11
#refugeejihad   10
#refugeeconvoi  10
#refugges       10
#refugeeaidserbia       10
#christianrefugees      10
#syrianrefugees<E2><80><A6>     10
#refugeecisis   10
#refugecrisis   10
#yazidirefugees 9
#refugees|      9
#refugiats      9
#syrianrefugee<E2><80><A6>      9
#refugesswelcome        9
#actionforrefugees      9
#refugeesunderattack    8
#syriarefugee   8
#refugeesn<E2><80><A6>  8
#refugeecrisis<E2><80><94>      8
#refugeedebate  8
#humansnotrefugees      8
#syrianrefuge<E2><80><A6>       8
#refugiadosbienvenid<E2><80><A6>        8
#helprealrefugees       8
#fcbrefugees    8
#fakerefugees   8
#syrianrefugeesforpa<E2><80><A6>        8
#refugeehackathon       8
#refugeerights  8
#welcomesrefugees       7
#notrefugees    7
#no_muslim_refugees     7
#hungary-#refugees      7
#childrenrefugees<E2><80><A6>   7
#cardiffsupportsrefugees        7
#refugeesc<E2><80><A6>  7
#refugeemissing 7
#savesyrianrefugees     7
#refugees,who've        7
#iwasarefugee   7
#voices4refugees        7
#refugiadosbie<E2><80><A6>      7
#refugessnotpawns       7
#climaterefugees        7
#refugeesarepeopletoo   7
#benvingutsrefugiats    7
#migrantcrisis/#refugeecrisis   6
#heartforrefugees       6
#beyondfrefugees        6
#refugeegr      6
#refugeeanswers 6
#refugefromcrueltrapping        6
#refugio        6
#migrantsnotrefugees    6
#eduapoyarefugiados     6
#refugee_migrantcrisis  6
#refugeelove    6
#savetherefugees        6
#refugeerelief  6
#refugiadosbienven<E2><80><A6>  6
#weareallrefugees       5
#refugees<E2><80><94>and        5
#norefugeeswolocalok    5
#beingrefugeeisntachoice        5
#ialsowasarefugee       5
#refugees_land_and_life_partners        5
#welcometorefugees      5
#refugeescri<E2><80><A6>        5
#syrianrefug<E2><80><A6>        5
#refugeekids    5
#europe=#migrant/#refugee(onsame)#violence      5
#welcomerefugee 5
#refugees2school        5
#refugeesnotwelc<E2><80><A6>    5
#refugeechildren        5
#refugeeslo     5
#iraqirefugees  4
#refugeesarehumanstoo   4
#refugewelcome  4
#refugeeswelcone        4
#refugeescrisis+#syria  4
#refugiooilspill        4
#refugeesnotwe<E2><80><A6>      4
#creativecollectiveforrefugees  4
#refugeescrossing       4
#challengedtodonnateforrefugees 4
#stophumiliatingrefugees        4
#refugee-crisis 4
#refugeesnot<E2><80><A6>        4
#syrianrefugees':       4
#they_are_not_refugees  4
#urbanrefugees  4
#refugeesunwelcome      4
#loverefugees   4
#blackrefugeeslivesmatters      4
#helpsyrianrefugees     4
#noshoesforrefugees     4
#welcoming_syrias_refugees_is_a_gulf_duty       4
#refugeesconvoy 4
#silenciotwitterporrefugiadxs   4
#rideforrefuge  4
#europeanrefugees       3
#refugeecamps   3
#citieswelcomerefugees  3
#refugees<E2><80><99>   3
#increasenzrefugeequota 3
#migrants/#refugees     3
#myrefuge       3
#refugeeidol    3
#therefuge      3
#refuguees      3
#palestinerefugees      3
#muslimrefugees 3
#nosyrianrefugees       3
#deportabbottnotrefugees        3
#refugeecrisis<E2><80><9D>      3
#proudtoprotectrefugees 3
#gamers4refugees        3
